name,hue_deg,wavelength_nm,frequency_thz,frequency_hz,field_type,dominant_charge,field_strength,resonance
red,0,700,428,428000000000000,FORCE_FIELD,POSITIVE,0.8925,0.85
red-orange,30,630,476,476000000000000,FORCE_FIELD,POSITIVE,0.675,0.75
orange,60,610,492,492000000000000,FORCE_FIELD,POSITIVE,0.525,0.7
yellow-orange,90,590,508,508000000000000,AMBIENT_FIELD,POSITIVE,0.39,0.65
yellow,120,575,521,521000000000000,AMBIENT_FIELD,POSITIVE,0.27,0.72
yellow-green,150,555,541,541000000000000,NULL_FIELD,BALANCED,0.12,0.8
green,180,530,566,566000000000000,FORCE_FIELD,NEGATIVE,0.726,0.88
blue-green,210,505,594,594000000000000,FORCE_FIELD,NEGATIVE,0.7995,0.82
blue,240,470,638,638000000000000,FORCE_FIELD,NEGATIVE,0.8775,0.78
blue-violet,270,450,667,667000000000000,FORCE_FIELD,NEGATIVE,0.702,0.72
violet,300,420,714,714000000000000,AMBIENT_FIELD,NEGATIVE,0.459,0.68
red-violet,330,390,769,769000000000000,NULL_FIELD,BALANCED,0.0555,0.74
